model,configuration,tvl,trade_fraction,gross_input,fee_paid,net_input,output,execution_price,slippage
Uniswap V3,"narrow [0.95, 1.05]",1000000,0.1,100000.0,300.0,99700.0,99211.16445778336,0.9921116445778336,0.007888355422166371
Uniswap V3,"narrow [0.95, 1.05]",1000000,0.2,200000.0,600.0,199400.0,197454.1982229815,0.9872709911149076,0.01272900888509243
Uniswap V3,"medium [0.80, 1.20]",1000000,0.001,1000.0,3.0,997.0,996.8084893908028,0.9968084893908028,0.003191510609197201
Uniswap V3,"medium [0.80, 1.20]",1000000,0.005,5000.0,15.0,4985.0,4980.2159106147365,0.9960431821229473,0.00395681787705271
Uniswap V3,"medium [0.80, 1.20]",1000000,0.01,10000.0,30.0,9970.0,9950.881989956202,0.9950881989956202,0.004911801004379823
Uniswap V3,"medium [0.80, 1.20]",1000000,0.02,20000.0,60.0,19940.0,19863.674318415164,0.9931837159207582,0.006816284079241841
Uniswap V3,"medium [0.80, 1.20]",1000000,0.05,50000.0,150.0,49850.0,49375.68782510213,0.9875137565020426,0.01248624349795735
Uniswap V3,"medium [0.80, 1.20]",1000000,0.1,100000.0,300.0,99700.0,97820.63307798607,0.9782063307798607,0.021793669220139256
Uniswap V3,"medium [0.80, 1.20]",1000000,0.2,200000.0,600.0,199400.0,192021.61646395532,0.9601080823197766,0.03989191768022338
Uniswap V3,"wide [0.50, 2.00]",1000000,0.001,1000.0,3.0,997.0,996.4180628771782,0.9964180628771782,0.0035819371228218433
Uniswap V3,"wide [0.50, 2.00]",1000000,0.005,5000.0,15.0,4985.0,4970.4854597908,0.99409709195816,0.005902908041840016
Uniswap V3,"wide [0.50, 2.00]",1000000,0.01,10000.0,30.0,9970.0,9912.110393030212,0.9912110393030212,0.008788960696978765
Uniswap V3,"wide [0.50, 2.00]",1000000,0.02,20000.0,60.0,19940.0,19709.778326602758,0.9854889163301379,0.01451108366986209
Uniswap V3,"wide [0.50, 2.00]",1000000,0.05,50000.0,150.0,49850.0,48435.609773325305,0.9687121954665061,0.03128780453349389
Uniswap V3,"wide [0.50, 2.00]",1000000,0.1,100000.0,300.0,99700.0,94198.53182780722,0.9419853182780722,0.05801468172192781
Uniswap V3,"wide [0.50, 2.00]",1000000,0.2,200000.0,600.0,199400.0,178544.91551126068,0.8927245775563034,0.10727542244369659
